OBSTACLE_IDENTIFIER;HORISONTAL_ACCURACY;HORISONTAL_ACCURACY_UOM;LATITUDE;LONGITUDE;LATITUDE_DD;LONGITUDE_DD;HORISONTAL_RESOLUTION;HORISONTAL_RESOLUTION_UOM;HORISONTAL_EXTENT;ELEVATION;ELEVATION_UOM;HEIGHT;HEIGHT_UOM;VERTICAL_ACCURACY;VERTICAL_ACCURACY_UOM;VERTICAL_EXTENT_ACC;VERTICAL_EXTENT_ACC_UOM;VERTICAL_RESOLUTION;VERTICAL_RESOLUTION_UOM;OBSTACLE_TYPE;GEOMETRY_TYPE;INTEGRITY;DATESTAMP;LIGHTING;LIGHTING_CHARACTER;MARKING;STATUS;REMARKS;AD_AIRPORT_PK 
VISBY-22126;10;M;573726.9N;0181910.8E;57.62413;18.31966;0.3;Seconds;;310;FT;131;FT;5;M;5;M;1;M;STACK;POINT;ROUTINE;20260108;Y;FR;;COMPLETED;;179
VISBY-2258;10;M;573829.2N;0181944.8E;57.64146;18.32911;0.3;Seconds;;263;FT;98;FT;5;M;5;M;1;M;STACK;POINT;ROUTINE;20260108;N;;;COMPLETED;;179
ESSV1004;;OTHER;573844.5N;0182012.9E;57.64568;18.33691;;;;185;FT;28;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1006;;OTHER;573844.7N;0182014.7E;57.64574;18.33743;;;;200;FT;41;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1009;;OTHER;573843.8N;0182015.5E;57.64551;18.33763;;;;210;FT;52;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV734;;OTHER;573803.2N;0181957.3E;57.63423;18.33259;;;;246;FT;71;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV844;;OTHER;573803.7N;0181954.2E;57.63436;18.33171;;;;258;FT;84;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV531;;OTHER;573803.1N;0181952.2E;57.6342;18.33118;;;;280;FT;108;FT;;OTHER;;OTHER;;;STACK;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1968;;OTHER;573913.4N;0181909.5E;57.65374;18.3193;;;;179;FT;40;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV417;;OTHER;573907.5N;0181905.7E;57.65208;18.31826;;;;176;FT;32;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2035;;OTHER;573903.5N;0181858.6E;57.65096;18.31628;;;;190;FT;49;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2034;;OTHER;573902.9N;0181857.9E;57.65081;18.31608;;;;181;FT;40;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1409;;OTHER;573858.5N;0182059.3E;57.64959;18.34981;;;;179;FT;11;FT;;OTHER;;OTHER;;;VEGETATION;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1406;;OTHER;573858.6N;0182058.9E;57.64961;18.34969;;;;189;FT;21;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1393;;OTHER;573856.6N;0182110.1E;57.64906;18.3528;;;;192;FT;22;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1384;;OTHER;573853.1N;0182104.9E;57.64808;18.35136;;;;188;FT;15;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1389;;OTHER;573854.8N;0182107.9E;57.64856;18.35221;;;;192;FT;22;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1371;;OTHER;573854.0N;0182108.5E;57.64834;18.35237;;;;195;FT;24;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1375;;OTHER;573853.6N;0182105.1E;57.64823;18.35141;;;;193;FT;21;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1386;;OTHER;573853.4N;0182103.0E;57.64817;18.35083;;;;190;FT;18;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1423;;OTHER;573855.1N;0182104.0E;57.64863;18.35112;;;;181;FT;10;FT;;OTHER;;OTHER;;;VEGETATION;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1376;;OTHER;573846.3N;0182135.0E;57.6462;18.35971;;;;250;FT;83;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1010;;OTHER;573843.5N;0182016.5E;57.64541;18.33792;;;;213;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV195;;OTHER;573854.5N;0182047.9E;57.64847;18.34664;;;;172;FT;10;FT;;OTHER;;OTHER;;;SIGN;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1233;;OTHER;573852.2N;0182048.8E;57.64783;18.34688;;;;220;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1014;;OTHER;573839.3N;0182016.9E;57.64425;18.33804;;;;191;FT;29;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1015;;OTHER;573814.6N;0182007.6E;57.63739;18.33546;;;;217;FT;49;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1147;;OTHER;573917.2N;0182057.7E;57.65477;18.34936;;;;196;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1190;;OTHER;573845.1N;0182120.8E;57.64586;18.35577;;;;239;FT;70;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1189;;OTHER;573845.3N;0182121.5E;57.64592;18.35597;;;;237;FT;69;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV704;;OTHER;573633.0N;0182035.0E;57.60916;18.34306;;;;430;FT;196;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1739;;OTHER;573934.9N;0181949.0E;57.65969;18.33029;;;;200;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1239;;OTHER;573851.9N;0182047.3E;57.64774;18.34647;;;;226;FT;60;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV300;;OTHER;573910.4N;0182148.5E;57.65288;18.36346;;;;225;FT;57;FT;;OTHER;;OTHER;;;POLE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1856;;OTHER;573903.5N;0182225.1E;57.65097;18.37365;;;;247;FT;81;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1820;;OTHER;573903.6N;0182127.5E;57.65101;18.35765;;;;220;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2020;;OTHER;573852.5N;0181853.3E;57.64793;18.3148;;;;207;FT;60;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1026;;OTHER;573828.2N;0182019.7E;57.64117;18.33882;;;;238;FT;69;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1664;;OTHER;573934.8N;0181952.9E;57.65967;18.33136;;;;201;FT;56;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1293;;OTHER;573922.5N;0181925.7E;57.65626;18.32381;;;;198;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV420;;OTHER;573856.5N;0181831.4E;57.64902;18.30872;;;;206;FT;64;FT;;OTHER;;OTHER;;;BUILDING;POINT;ROUTINE;;;;;COMPLETED;;179
VISBY-12704;10;M;573816.1N;0181837.5E;57.6378;18.31042;0.3;Seconds;;249;FT;98;FT;5;M;5;M;1;M;ANTENNA;POINT;ROUTINE;20260108;N;;;COMPLETED;;179
ESSV1246;;OTHER;573851.8N;0182047.8E;57.64772;18.34661;;;;219;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV683;;OTHER;573756.0N;0181936.4E;57.63223;18.32679;;;;240;FT;67;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV7;;OTHER;573835.1N;0181915.9E;57.64307;18.32108;;;;226;FT;71;FT;;OTHER;;OTHER;;;ANTENNA;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2196;;OTHER;574014.3N;0182025.6E;57.67064;18.34045;;;;180;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV2218;;OTHER;574006.1N;0182026.4E;57.66836;18.34067;;;;185;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1708;;OTHER;573952.3N;0182006.7E;57.66453;18.3352;;;;190;FT;51;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
